ablation,epsilon,metric,class_count,m,max_value_error,class_count_full,class_count_spectral,ari,time_full_s,time_spectral_s
w1_vs_tv_tiger,0.0,w1,4.0,1.0,,,,,,
w1_vs_tv_tiger,0.0,tv,4.0,1.0,,,,,,
w1_vs_tv_tiger,0.1,w1,4.0,1.0,,,,,,
w1_vs_tv_tiger,0.1,tv,4.0,1.0,,,,,,
w1_vs_tv_tiger,0.2,w1,4.0,1.0,,,,,,
w1_vs_tv_tiger,0.2,tv,4.0,1.0,,,,,,
w1_vs_tv_tiger,0.3,w1,4.0,1.0,,,,,,
w1_vs_tv_tiger,0.3,tv,4.0,1.0,,,,,,
w1_vs_tv_tiger,0.4,w1,4.0,1.0,,,,,,
w1_vs_tv_tiger,0.4,tv,4.0,1.0,,,,,,
w1_vs_tv_tiger,0.5,w1,3.0,1.0,,,,,,
w1_vs_tv_tiger,0.5,tv,3.0,1.0,,,,,,
w1_vs_tv_tiger,0.6,w1,3.0,1.0,,,,,,
w1_vs_tv_tiger,0.6,tv,3.0,1.0,,,,,,
m1_vs_m2,0.3,w1,4.0,1.0,5.551115123125783e-17,,,,,
m1_vs_m2,0.3,w1,4.0,2.0,5.551115123125783e-17,,,,,
spectral_vs_full,0.0,w1,,2.0,,4.0,4.0,1.0,0.1401131059974432,0.14230619999580085
spectral_vs_full,0.1,w1,,2.0,,4.0,4.0,1.0,0.1401131059974432,0.14230619999580085
spectral_vs_full,0.2,w1,,2.0,,4.0,4.0,1.0,0.1401131059974432,0.14230619999580085
spectral_vs_full,0.3,w1,,2.0,,4.0,4.0,1.0,0.1401131059974432,0.14230619999580085
spectral_vs_full,0.4,w1,,2.0,,4.0,4.0,1.0,0.1401131059974432,0.14230619999580085
spectral_vs_full,0.5,w1,,2.0,,3.0,3.0,1.0,0.1401131059974432,0.14230619999580085
spectral_vs_full,0.6,w1,,2.0,,3.0,3.0,1.0,0.1401131059974432,0.14230619999580085
