benchmark,method,epsilon,class_count,max_value_error,d_m_t_w1,time_s,class_count_std,max_value_error_std,d_m_t_w1_std,matches_epsilon_quotient
tiger_full_actions,epsilon_quotient,0.0,4.0,5.551115123125783e-17,0.0,0.0093,,,,False
tiger_full_actions,truncation_d1,0.0,5.0,5.551115123125783e-17,0.0,0.0049,,,,False
tiger_full_actions,random_partition,0.0,3.6,0.04900000000000001,0.09799999999999998,0.0041,0.4898979485566356,0.060012498698187804,0.12002499739637569,False
tiger_full_actions,belief_distance,0.0,6.0,5.551115123125783e-17,0.0,0.004,,,,False
tiger_full_actions,bisimulation,0.0,6.0,5.551115123125783e-17,0.0,0.0363,,,,False
tiger_full_actions,epsilon_quotient,0.1,4.0,5.551115123125783e-17,0.0,0.0319,,,,False
tiger_full_actions,truncation_d1,0.1,5.0,5.551115123125783e-17,0.0,0.0039,,,,False
tiger_full_actions,random_partition,0.1,3.6,0.04900000000000001,0.09799999999999998,0.0039,0.4898979485566356,0.060012498698187804,0.12002499739637569,False
tiger_full_actions,belief_distance,0.1,6.0,5.551115123125783e-17,0.0,0.004,,,,False
tiger_full_actions,bisimulation,0.1,6.0,5.551115123125783e-17,0.0,0.0347,,,,False
tiger_full_actions,epsilon_quotient,0.2,4.0,5.551115123125783e-17,0.0,0.004,,,,False
tiger_full_actions,truncation_d1,0.2,5.0,5.551115123125783e-17,0.0,0.004,,,,False
tiger_full_actions,random_partition,0.2,3.6,0.04900000000000001,0.09799999999999998,0.0053,0.4898979485566356,0.060012498698187804,0.12002499739637569,False
tiger_full_actions,belief_distance,0.2,6.0,5.551115123125783e-17,0.0,0.004,,,,False
tiger_full_actions,bisimulation,0.2,6.0,5.551115123125783e-17,0.0,0.0348,,,,False
tiger_full_actions,epsilon_quotient,0.3,4.0,5.551115123125783e-17,0.0,0.0039,,,,False
tiger_full_actions,truncation_d1,0.3,5.0,5.551115123125783e-17,0.0,0.0039,,,,False
tiger_full_actions,random_partition,0.3,3.6,0.04900000000000001,0.09799999999999998,0.0039,0.4898979485566356,0.060012498698187804,0.12002499739637569,False
tiger_full_actions,belief_distance,0.3,6.0,5.551115123125783e-17,0.0,0.004,,,,False
tiger_full_actions,bisimulation,0.3,6.0,5.551115123125783e-17,0.0,0.0342,,,,False
tiger_full_actions,epsilon_quotient,0.4,4.0,5.551115123125783e-17,0.0,0.0039,,,,False
tiger_full_actions,truncation_d1,0.4,5.0,5.551115123125783e-17,0.0,0.0039,,,,False
tiger_full_actions,random_partition,0.4,3.6,0.04900000000000001,0.09799999999999998,0.0039,0.4898979485566356,0.060012498698187804,0.12002499739637569,False
tiger_full_actions,belief_distance,0.4,6.0,5.551115123125783e-17,0.0,0.004,,,,False
tiger_full_actions,bisimulation,0.4,6.0,5.551115123125783e-17,0.0,0.0341,,,,False
tiger_full_actions,epsilon_quotient,0.5,3.0,0.12249999999999994,0.24499999999999994,0.0038,,,,False
tiger_full_actions,truncation_d1,0.5,5.0,5.551115123125783e-17,0.0,0.004,,,,False
tiger_full_actions,random_partition,0.5,3.0,0.12249999999999994,0.24499999999999994,0.0038,0.0,0.0,0.0,True
tiger_full_actions,belief_distance,0.5,5.0,5.551115123125783e-17,0.0,0.0041,,,,False
tiger_full_actions,bisimulation,0.5,5.0,5.551115123125783e-17,0.0,0.0352,,,,False
tiger_full_actions,epsilon_quotient,0.6,3.0,0.12249999999999994,0.24499999999999994,0.0038,,,,False
tiger_full_actions,truncation_d1,0.6,5.0,5.551115123125783e-17,0.0,0.0039,,,,False
tiger_full_actions,random_partition,0.6,3.0,0.12249999999999994,0.24499999999999994,0.0039,0.0,0.0,0.0,True
tiger_full_actions,belief_distance,0.6,5.0,5.551115123125783e-17,0.0,0.004,,,,False
tiger_full_actions,bisimulation,0.6,5.0,5.551115123125783e-17,0.0,0.0355,,,,False
gridworld_3x3,epsilon_quotient,0.0,6.0,1.1102230246251565e-16,0.0,0.0257,,,,False
gridworld_3x3,truncation_d1,0.0,9.0,1.1102230246251565e-16,0.0,0.0257,,,,False
gridworld_3x3,random_partition,0.0,4.6,0.04543007751937986,0.09897142857142857,0.0247,0.7999999999999999,0.0392513430178663,0.060021440145272255,False
gridworld_3x3,belief_distance,0.0,21.0,1.1102230246251565e-16,0.0,0.0296,,,,False
gridworld_3x3,bisimulation,0.0,3.0,0.10438095238095234,0.16644155844155845,2.128,,,,False
gridworld_3x3,epsilon_quotient,0.1,6.0,1.1102230246251565e-16,0.0,0.0335,,,,False
gridworld_3x3,truncation_d1,0.1,9.0,1.1102230246251565e-16,0.0,0.0256,,,,False
gridworld_3x3,random_partition,0.1,4.6,0.04543007751937986,0.09897142857142857,0.0249,0.7999999999999999,0.0392513430178663,0.060021440145272255,False
gridworld_3x3,belief_distance,0.1,17.0,1.1102230246251565e-16,0.0,0.0287,,,,False
gridworld_3x3,bisimulation,0.1,3.0,0.10438095238095234,0.16644155844155845,2.2243,,,,False
gridworld_3x3,epsilon_quotient,0.2,5.0,1.1102230246251565e-16,0.05163636363636365,0.0252,,,,False
gridworld_3x3,truncation_d1,0.2,9.0,1.1102230246251565e-16,0.0,0.0258,,,,False
gridworld_3x3,random_partition,0.2,4.4,0.052425815473476245,0.08659855699855698,0.0247,0.48989794855663565,0.04467941304225407,0.019965062225271113,False
gridworld_3x3,belief_distance,0.2,14.0,1.1102230246251565e-16,0.0,0.0273,,,,False
gridworld_3x3,bisimulation,0.2,3.0,0.10438095238095234,0.16644155844155845,2.4971,,,,False
gridworld_3x3,epsilon_quotient,0.3,4.0,0.09915038759689918,0.09194805194805192,0.0242,,,,False
gridworld_3x3,truncation_d1,0.3,9.0,1.1102230246251565e-16,0.0,0.0261,,,,False
gridworld_3x3,random_partition,0.3,3.8,0.06630626799557031,0.13556132756132755,0.0243,0.39999999999999997,0.03724399737694119,0.033828364688339045,False
gridworld_3x3,belief_distance,0.3,9.0,1.1102230246251565e-16,0.05163636363636365,0.0265,,,,False
gridworld_3x3,bisimulation,0.3,3.0,0.10438095238095234,0.16644155844155845,2.1283,,,,False
gridworld_3x3,epsilon_quotient,0.4,3.0,0.10438095238095234,0.16644155844155845,0.0232,,,,False
gridworld_3x3,truncation_d1,0.4,9.0,1.1102230246251565e-16,0.0,0.0255,,,,False
gridworld_3x3,random_partition,0.4,3.0,0.10438095238095232,0.16644155844155845,0.0236,0.0,1.3877787807814457e-17,0.0,True
gridworld_3x3,belief_distance,0.4,7.0,0.06399999999999995,0.08145454545454549,0.0264,,,,False
gridworld_3x3,bisimulation,0.4,3.0,0.10438095238095234,0.16644155844155845,2.0883,,,,True
gridworld_3x3,epsilon_quotient,0.5,3.0,0.10438095238095234,0.16644155844155845,0.0236,,,,False
