benchmark,horizon,m,epsilon,class_count,compression_ratio,policy_count,method,runtime_s
tiger_full_actions,4.0,2.0,0.0,16.0,0.5161290322580645,147.0,exact,6.18
tiger_full_actions,4.0,2.0,0.1,16.0,0.5161290322580645,147.0,exact,6.18
tiger_full_actions,4.0,2.0,0.2,16.0,0.5161290322580645,147.0,exact,6.18
tiger_full_actions,4.0,2.0,0.3,14.0,0.45161290322580644,147.0,exact,6.18
tiger_full_actions,4.0,2.0,0.4,10.0,0.3225806451612903,147.0,exact,6.18
tiger_full_actions,4.0,2.0,0.5,10.0,0.3225806451612903,147.0,exact,6.18
tiger_full_actions,4.0,2.0,0.6,10.0,0.3225806451612903,147.0,exact,6.18
gridworld_3x3,2.0,2.0,0.0,6.0,0.2857142857142857,6405.0,exact,56.567
gridworld_3x3,2.0,2.0,0.1,6.0,0.2857142857142857,6405.0,exact,56.567
gridworld_3x3,2.0,2.0,0.2,6.0,0.2857142857142857,6405.0,exact,56.567
gridworld_3x3,2.0,2.0,0.3,6.0,0.2857142857142857,6405.0,exact,56.567
gridworld_3x3,2.0,2.0,0.4,5.0,0.23809523809523808,6405.0,exact,56.567
gridworld_3x3,2.0,2.0,0.5,3.0,0.14285714285714285,6405.0,exact,56.567
gridworld_3x3,2.0,2.0,0.6,3.0,0.14285714285714285,6405.0,exact,56.567
gridworld_5x5,2.0,2.0,0.0,6.0,0.2857142857142857,6405.0,sampling_500,403.097
gridworld_5x5,2.0,2.0,0.1,6.0,0.2857142857142857,6405.0,sampling_500,403.097
gridworld_5x5,2.0,2.0,0.2,6.0,0.2857142857142857,6405.0,sampling_500,403.097
gridworld_5x5,2.0,2.0,0.3,6.0,0.2857142857142857,6405.0,sampling_500,403.097
gridworld_5x5,2.0,2.0,0.4,4.0,0.19047619047619047,6405.0,sampling_500,403.097
gridworld_5x5,2.0,2.0,0.5,3.0,0.14285714285714285,6405.0,sampling_500,403.097
gridworld_5x5,2.0,2.0,0.6,3.0,0.14285714285714285,6405.0,sampling_500,403.097
