benchmark,horizon,m,epsilon,class_count,compression_ratio,policy_count
gridworld_3x3,2,1.0,0.0,6.0,0.2857142857142857,5.0
gridworld_3x3,2,1.0,0.1,6.0,0.2857142857142857,5.0
gridworld_3x3,2,1.0,0.2,5.0,0.23809523809523808,5.0
gridworld_3x3,2,1.0,0.3,4.0,0.19047619047619047,5.0
gridworld_3x3,2,1.0,0.4,3.0,0.14285714285714285,5.0
gridworld_3x3,2,1.0,0.5,3.0,0.14285714285714285,5.0
gridworld_3x3,2,1.0,0.6,3.0,0.14285714285714285,5.0
gridworld_3x3,2,2.0,0.0,6.0,0.2857142857142857,6405.0
gridworld_3x3,2,2.0,0.1,6.0,0.2857142857142857,6405.0
gridworld_3x3,2,2.0,0.2,6.0,0.2857142857142857,6405.0
gridworld_3x3,2,2.0,0.3,6.0,0.2857142857142857,6405.0
gridworld_3x3,2,2.0,0.4,5.0,0.23809523809523808,6405.0
gridworld_3x3,2,2.0,0.5,3.0,0.14285714285714285,6405.0
gridworld_3x3,2,2.0,0.6,3.0,0.14285714285714285,6405.0
