num_samples,replication,epsilon,exact_classes,sample_classes,ari
50,0,0.0,6,6,1.0
50,0,0.3,4,3,0.9606299212598425
50,0,0.5,3,3,1.0
50,1,0.0,6,6,1.0
50,1,0.3,4,4,0.9706129303106633
50,1,0.5,3,3,1.0
50,2,0.0,6,6,1.0
50,2,0.3,4,4,1.0
50,2,0.5,3,3,1.0
50,3,0.0,6,6,1.0
50,3,0.3,4,4,0.9706129303106633
50,3,0.5,3,3,1.0
50,4,0.0,6,6,1.0
50,4,0.3,4,3,0.9606299212598425
50,4,0.5,3,3,1.0
100,0,0.0,6,6,1.0
100,0,0.3,4,4,1.0
100,0,0.5,3,3,1.0
100,1,0.0,6,6,1.0
100,1,0.3,4,4,1.0
100,1,0.5,3,3,1.0
100,2,0.0,6,6,1.0
100,2,0.3,4,4,0.9706129303106633
100,2,0.5,3,3,1.0
100,3,0.0,6,6,1.0
100,3,0.3,4,4,0.9706129303106633
100,3,0.5,3,3,1.0
100,4,0.0,6,6,1.0
100,4,0.3,4,4,0.9706129303106633
100,4,0.5,3,3,1.0
250,0,0.0,6,6,1.0
250,0,0.3,4,4,1.0
250,0,0.5,3,3,1.0
250,1,0.0,6,6,1.0
250,1,0.3,4,4,0.9706129303106633
250,1,0.5,3,3,1.0
250,2,0.0,6,6,1.0
250,2,0.3,4,4,0.9706129303106633
250,2,0.5,3,3,1.0
250,3,0.0,6,6,1.0
250,3,0.3,4,4,0.9706129303106633
250,3,0.5,3,3,1.0
250,4,0.0,6,6,1.0
250,4,0.3,4,4,1.0
250,4,0.5,3,3,1.0
500,0,0.0,6,6,1.0
500,0,0.3,4,4,1.0
500,0,0.5,3,3,1.0
500,1,0.0,6,6,1.0
500,1,0.3,4,4,1.0
500,1,0.5,3,3,1.0
500,2,0.0,6,6,1.0
500,2,0.3,4,4,0.9706129303106633
500,2,0.5,3,3,1.0
500,3,0.0,6,6,1.0
500,3,0.3,4,4,1.0
500,3,0.5,3,3,1.0
500,4,0.0,6,6,1.0
500,4,0.3,4,4,1.0
500,4,0.5,3,3,1.0
1000,0,0.0,6,6,1.0
1000,0,0.3,4,4,0.9706129303106633
1000,0,0.5,3,3,1.0
1000,1,0.0,6,6,1.0
1000,1,0.3,4,4,1.0
1000,1,0.5,3,3,1.0
1000,2,0.0,6,6,1.0
1000,2,0.3,4,4,1.0
1000,2,0.5,3,3,1.0
1000,3,0.0,6,6,1.0
1000,3,0.3,4,4,0.9706129303106633
1000,3,0.5,3,3,1.0
1000,4,0.0,6,6,1.0
1000,4,0.3,4,4,0.9706129303106633
1000,4,0.5,3,3,1.0
