m,horizon,epsilon,class_count
1.0,2.0,0.0,4.0
1.0,2.0,0.1,4.0
1.0,2.0,0.2,4.0
1.0,2.0,0.3,4.0
1.0,2.0,0.4,4.0
1.0,2.0,0.5,3.0
1.0,2.0,0.6,3.0
1.0,3.0,0.0,7.0
1.0,3.0,0.1,7.0
1.0,3.0,0.2,7.0
1.0,3.0,0.3,7.0
1.0,3.0,0.4,6.0
1.0,3.0,0.5,6.0
1.0,3.0,0.6,6.0
1.0,4.0,0.0,11.0
1.0,4.0,0.1,11.0
1.0,4.0,0.2,9.0
1.0,4.0,0.3,9.0
1.0,4.0,0.4,9.0
1.0,4.0,0.5,9.0
1.0,4.0,0.6,9.0
2.0,2.0,0.0,4.0
2.0,2.0,0.1,4.0
2.0,2.0,0.2,4.0
2.0,2.0,0.3,4.0
2.0,2.0,0.4,4.0
2.0,2.0,0.5,3.0
2.0,2.0,0.6,3.0
2.0,3.0,0.0,8.0
2.0,3.0,0.1,8.0
2.0,3.0,0.2,8.0
2.0,3.0,0.3,8.0
2.0,3.0,0.4,6.0
2.0,3.0,0.5,6.0
2.0,3.0,0.6,6.0
2.0,4.0,0.0,16.0
2.0,4.0,0.1,16.0
2.0,4.0,0.2,16.0
2.0,4.0,0.3,14.0
2.0,4.0,0.4,10.0
2.0,4.0,0.5,10.0
2.0,4.0,0.6,10.0
