benchmark,num_states,horizon,m,epsilon,class_count,total_histories,compression_ratio,instance_seed,wall_clock_s
gridworld_5x5,25.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,,
gridworld_5x5,25.0,2.0,1.0,0.1,6.0,21.0,0.2857142857142857,,
gridworld_5x5,25.0,2.0,1.0,0.2,5.0,21.0,0.23809523809523808,,
gridworld_5x5,25.0,2.0,1.0,0.3,4.0,21.0,0.19047619047619047,,
gridworld_5x5,25.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,,
gridworld_5x5,25.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,,
gridworld_5x5,25.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,,
gridworld_5x5,25.0,3.0,1.0,0.0,22.0,85.0,0.25882352941176473,,
gridworld_5x5,25.0,3.0,1.0,0.1,16.0,85.0,0.18823529411764706,,
gridworld_5x5,25.0,3.0,1.0,0.2,12.0,85.0,0.1411764705882353,,
gridworld_5x5,25.0,3.0,1.0,0.3,9.0,85.0,0.10588235294117647,,
gridworld_5x5,25.0,3.0,1.0,0.4,7.0,85.0,0.08235294117647059,,
gridworld_5x5,25.0,3.0,1.0,0.5,6.0,85.0,0.07058823529411765,,
gridworld_5x5,25.0,3.0,1.0,0.6,5.0,85.0,0.058823529411764705,,
random_pomdp_20,20.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,7.0,
random_pomdp_20,20.0,2.0,1.0,0.1,3.0,21.0,0.14285714285714285,7.0,
random_pomdp_20,20.0,2.0,1.0,0.2,3.0,21.0,0.14285714285714285,7.0,
random_pomdp_20,20.0,2.0,1.0,0.3,3.0,21.0,0.14285714285714285,7.0,
random_pomdp_20,20.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,7.0,
random_pomdp_20,20.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,7.0,
random_pomdp_20,20.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,7.0,
random_pomdp_20,20.0,3.0,1.0,0.0,22.0,85.0,0.25882352941176473,7.0,
random_pomdp_20,20.0,3.0,1.0,0.1,4.0,85.0,0.047058823529411764,7.0,
random_pomdp_20,20.0,3.0,1.0,0.2,4.0,85.0,0.047058823529411764,7.0,
random_pomdp_20,20.0,3.0,1.0,0.3,4.0,85.0,0.047058823529411764,7.0,
random_pomdp_20,20.0,3.0,1.0,0.4,4.0,85.0,0.047058823529411764,7.0,
random_pomdp_20,20.0,3.0,1.0,0.5,4.0,85.0,0.047058823529411764,7.0,
random_pomdp_20,20.0,3.0,1.0,0.6,4.0,85.0,0.047058823529411764,7.0,
random_pomdp_20,20.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,8.0,
random_pomdp_20,20.0,2.0,1.0,0.1,3.0,21.0,0.14285714285714285,8.0,
random_pomdp_20,20.0,2.0,1.0,0.2,3.0,21.0,0.14285714285714285,8.0,
random_pomdp_20,20.0,2.0,1.0,0.3,3.0,21.0,0.14285714285714285,8.0,
random_pomdp_20,20.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,8.0,
random_pomdp_20,20.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,8.0,
random_pomdp_20,20.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,8.0,
random_pomdp_20,20.0,3.0,1.0,0.0,22.0,85.0,0.25882352941176473,8.0,
random_pomdp_20,20.0,3.0,1.0,0.1,4.0,85.0,0.047058823529411764,8.0,
random_pomdp_20,20.0,3.0,1.0,0.2,4.0,85.0,0.047058823529411764,8.0,
random_pomdp_20,20.0,3.0,1.0,0.3,4.0,85.0,0.047058823529411764,8.0,
random_pomdp_20,20.0,3.0,1.0,0.4,4.0,85.0,0.047058823529411764,8.0,
random_pomdp_20,20.0,3.0,1.0,0.5,4.0,85.0,0.047058823529411764,8.0,
random_pomdp_20,20.0,3.0,1.0,0.6,4.0,85.0,0.047058823529411764,8.0,
random_pomdp_20,20.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,9.0,
random_pomdp_20,20.0,2.0,1.0,0.1,3.0,21.0,0.14285714285714285,9.0,
random_pomdp_20,20.0,2.0,1.0,0.2,3.0,21.0,0.14285714285714285,9.0,
random_pomdp_20,20.0,2.0,1.0,0.3,3.0,21.0,0.14285714285714285,9.0,
random_pomdp_20,20.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,9.0,
random_pomdp_20,20.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,9.0,
random_pomdp_20,20.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,9.0,
random_pomdp_20,20.0,3.0,1.0,0.0,22.0,85.0,0.25882352941176473,9.0,
random_pomdp_20,20.0,3.0,1.0,0.1,4.0,85.0,0.047058823529411764,9.0,
random_pomdp_20,20.0,3.0,1.0,0.2,4.0,85.0,0.047058823529411764,9.0,
random_pomdp_20,20.0,3.0,1.0,0.3,4.0,85.0,0.047058823529411764,9.0,
random_pomdp_20,20.0,3.0,1.0,0.4,4.0,85.0,0.047058823529411764,9.0,
random_pomdp_20,20.0,3.0,1.0,0.5,4.0,85.0,0.047058823529411764,9.0,
random_pomdp_20,20.0,3.0,1.0,0.6,4.0,85.0,0.047058823529411764,9.0,
gridworld_3x3,9.0,2.0,1.0,0.3,4.0,21.0,0.19047619047619047,,0.03712438000366092
gridworld_4x4,16.0,2.0,1.0,0.3,4.0,21.0,0.19047619047619047,,0.04417220700997859
gridworld_5x5,25.0,2.0,1.0,0.3,4.0,21.0,0.19047619047619047,,0.055419428972527385
gridworld_6x6,36.0,2.0,1.0,0.3,4.0,21.0,0.19047619047619047,,0.073224863037467
