accuracy,epsilon,class_count,max_value_error
0.7,0.0,4.0,0.0
0.7,0.1,4.0,0.0
0.7,0.2,3.0,0.03999999999999998
0.7,0.3,3.0,0.03999999999999998
0.7,0.4,3.0,0.03999999999999998
0.7,0.5,3.0,0.03999999999999998
0.7,0.6,3.0,0.03999999999999998
0.75,0.0,4.0,0.0
0.75,0.1,4.0,0.0
0.75,0.2,4.0,0.0
0.75,0.3,3.0,0.0625
0.75,0.4,3.0,0.0625
0.75,0.5,3.0,0.0625
0.75,0.6,3.0,0.0625
0.8,0.0,4.0,0.0
0.8,0.1,4.0,0.0
0.8,0.2,4.0,0.0
0.8,0.3,4.0,0.0
0.8,0.4,3.0,0.09000000000000008
0.8,0.5,3.0,0.09000000000000008
0.8,0.6,3.0,0.09000000000000008
0.85,0.0,4.0,5.551115123125783e-17
0.85,0.1,4.0,5.551115123125783e-17
0.85,0.2,4.0,5.551115123125783e-17
0.85,0.3,4.0,5.551115123125783e-17
0.85,0.4,4.0,5.551115123125783e-17
0.85,0.5,3.0,0.12249999999999994
0.85,0.6,3.0,0.12249999999999994
0.9,0.0,4.0,0.0
0.9,0.1,4.0,0.0
0.9,0.2,4.0,0.0
0.9,0.3,4.0,0.0
0.9,0.4,4.0,0.0
0.9,0.5,4.0,0.0
0.9,0.6,4.0,0.0
0.95,0.0,4.0,0.0
0.95,0.1,4.0,0.0
0.95,0.2,4.0,0.0
0.95,0.3,4.0,0.0
0.95,0.4,4.0,0.0
0.95,0.5,4.0,0.0
0.95,0.6,4.0,0.0
