benchmark,delta_o,epsilon,classes_full,classes_coarsened,num_obs_original,num_obs_coarsened,max_distance_full,max_distance_coarsened,monotonicity_holds
gridworld_3x3,0.0,0.0,6.0,6.0,4.0,4.0,0.342857,0.342857,True
gridworld_3x3,0.0,0.1,6.0,6.0,4.0,4.0,0.342857,0.342857,True
gridworld_3x3,0.0,0.2,5.0,5.0,4.0,4.0,0.342857,0.342857,True
gridworld_3x3,0.0,0.3,4.0,4.0,4.0,4.0,0.342857,0.342857,True
gridworld_3x3,0.0,0.4,3.0,3.0,4.0,4.0,0.342857,0.342857,True
gridworld_3x3,0.0,0.5,3.0,3.0,4.0,4.0,0.342857,0.342857,True
gridworld_3x3,0.0,0.6,3.0,3.0,4.0,4.0,0.342857,0.342857,True
gridworld_3x3,0.25,0.0,6.0,6.0,4.0,4.0,0.342857,0.342857,True
gridworld_3x3,0.25,0.1,6.0,6.0,4.0,4.0,0.342857,0.342857,True
gridworld_3x3,0.25,0.2,5.0,5.0,4.0,4.0,0.342857,0.342857,True
gridworld_3x3,0.25,0.3,4.0,4.0,4.0,4.0,0.342857,0.342857,True
gridworld_3x3,0.25,0.4,3.0,3.0,4.0,4.0,0.342857,0.342857,True
gridworld_3x3,0.25,0.5,3.0,3.0,4.0,4.0,0.342857,0.342857,True
gridworld_3x3,0.25,0.6,3.0,3.0,4.0,4.0,0.342857,0.342857,True
gridworld_3x3,0.5,0.0,6.0,4.0,4.0,2.0,0.342857,0.149184,True
gridworld_3x3,0.5,0.1,6.0,4.0,4.0,2.0,0.342857,0.149184,True
gridworld_3x3,0.5,0.2,5.0,3.0,4.0,2.0,0.342857,0.149184,True
gridworld_3x3,0.5,0.3,4.0,3.0,4.0,2.0,0.342857,0.149184,True
gridworld_3x3,0.5,0.4,3.0,3.0,4.0,2.0,0.342857,0.149184,True
gridworld_3x3,0.5,0.5,3.0,3.0,4.0,2.0,0.342857,0.149184,True
gridworld_3x3,0.5,0.6,3.0,3.0,4.0,2.0,0.342857,0.149184,True
gridworld_3x3,0.75,0.0,6.0,4.0,4.0,2.0,0.342857,0.149184,True
gridworld_3x3,0.75,0.1,6.0,4.0,4.0,2.0,0.342857,0.149184,True
gridworld_3x3,0.75,0.2,5.0,3.0,4.0,2.0,0.342857,0.149184,True
gridworld_3x3,0.75,0.3,4.0,3.0,4.0,2.0,0.342857,0.149184,True
gridworld_3x3,0.75,0.4,3.0,3.0,4.0,2.0,0.342857,0.149184,True
gridworld_3x3,0.75,0.5,3.0,3.0,4.0,2.0,0.342857,0.149184,True
gridworld_3x3,0.75,0.6,3.0,3.0,4.0,2.0,0.342857,0.149184,True
gridworld_3x3,1.0,0.0,6.0,3.0,4.0,1.0,0.342857,0.0,True
gridworld_3x3,1.0,0.1,6.0,3.0,4.0,1.0,0.342857,0.0,True
gridworld_3x3,1.0,0.2,5.0,3.0,4.0,1.0,0.342857,0.0,True
gridworld_3x3,1.0,0.3,4.0,3.0,4.0,1.0,0.342857,0.0,True
gridworld_3x3,1.0,0.4,3.0,3.0,4.0,1.0,0.342857,0.0,True
gridworld_3x3,1.0,0.5,3.0,3.0,4.0,1.0,0.342857,0.0,True
gridworld_3x3,1.0,0.6,3.0,3.0,4.0,1.0,0.342857,0.0,True
tiger,0.0,0.0,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.0,0.1,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.0,0.2,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.0,0.3,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.0,0.4,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.0,0.5,3.0,3.0,2.0,2.0,0.49,0.49,True
tiger,0.0,0.6,3.0,3.0,2.0,2.0,0.49,0.49,True
tiger,0.25,0.0,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.25,0.1,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.25,0.2,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.25,0.3,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.25,0.4,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.25,0.5,3.0,3.0,2.0,2.0,0.49,0.49,True
tiger,0.25,0.6,3.0,3.0,2.0,2.0,0.49,0.49,True
tiger,0.5,0.0,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.5,0.1,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.5,0.2,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.5,0.3,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.5,0.4,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.5,0.5,3.0,3.0,2.0,2.0,0.49,0.49,True
tiger,0.5,0.6,3.0,3.0,2.0,2.0,0.49,0.49,True
tiger,0.75,0.0,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.75,0.1,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.75,0.2,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.75,0.3,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.75,0.4,4.0,4.0,2.0,2.0,0.49,0.49,True
tiger,0.75,0.5,3.0,3.0,2.0,2.0,0.49,0.49,True
tiger,0.75,0.6,3.0,3.0,2.0,2.0,0.49,0.49,True
tiger,1.0,0.0,4.0,3.0,2.0,1.0,0.49,0.0,True
tiger,1.0,0.1,4.0,3.0,2.0,1.0,0.49,0.0,True
tiger,1.0,0.2,4.0,3.0,2.0,1.0,0.49,0.0,True
tiger,1.0,0.3,4.0,3.0,2.0,1.0,0.49,0.0,True
tiger,1.0,0.4,4.0,3.0,2.0,1.0,0.49,0.0,True
tiger,1.0,0.5,3.0,3.0,2.0,1.0,0.49,0.0,True
tiger,1.0,0.6,3.0,3.0,2.0,1.0,0.49,0.0,True
