benchmark,m,epsilon,num_policies,num_classes,time_original_s,time_quotient_s,speedup_ratio,value_original,value_quotient_on_original,value_gap
tiger_full_actions,1.0,0.0,3.0,4.0,0.000333,0.001059,0.31,0.3725,0.3725,0.0
tiger_full_actions,1.0,0.1,3.0,4.0,0.000333,0.001004,0.33,0.3725,0.3725,0.0
tiger_full_actions,1.0,0.2,3.0,4.0,0.000333,0.001003,0.33,0.3725,0.3725,0.0
tiger_full_actions,1.0,0.3,3.0,4.0,0.000333,0.001003,0.33,0.3725,0.3725,0.0
tiger_full_actions,1.0,0.4,3.0,4.0,0.000333,0.001002,0.33,0.3725,0.3725,0.0
tiger_full_actions,1.0,0.5,3.0,3.0,0.000333,0.000898,0.37,0.3725,0.3725,0.0
tiger_full_actions,1.0,0.6,3.0,3.0,0.000333,0.000902,0.37,0.3725,0.3725,0.0
hallway_10,1.0,0.0,3.0,5.0,0.000872,0.005569,0.16,0.262,0.262,0.0
hallway_10,1.0,0.1,3.0,5.0,0.000872,0.005491,0.16,0.262,0.262,0.0
hallway_10,1.0,0.2,3.0,5.0,0.000872,0.006471,0.13,0.262,0.262,0.0
hallway_10,1.0,0.3,3.0,5.0,0.000872,0.005382,0.16,0.262,0.262,0.0
hallway_10,1.0,0.4,3.0,5.0,0.000872,0.00445,0.2,0.262,0.262,0.0
hallway_10,1.0,0.5,3.0,3.0,0.000872,0.002556,0.34,0.262,0.18024,0.08176
hallway_10,1.0,0.6,3.0,3.0,0.000872,0.00253,0.34,0.262,0.18024,0.08176
