benchmark,horizon,m,epsilon,k,total_fscs,exact_classes,approx_classes,adjusted_rand_index,merge_fidelity
tiger_full_actions,2.0,1.0,0.0,1.0,3.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,1.0,0.0,3.0,3.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,1.0,0.1,1.0,3.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,1.0,0.1,3.0,3.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,1.0,0.2,1.0,3.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,1.0,0.2,3.0,3.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,1.0,0.3,1.0,3.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,1.0,0.3,3.0,3.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,1.0,0.4,1.0,3.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,1.0,0.4,3.0,3.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,1.0,0.5,1.0,3.0,3.0,3.0,1.0,1.0
tiger_full_actions,2.0,1.0,0.5,3.0,3.0,3.0,3.0,1.0,1.0
tiger_full_actions,2.0,1.0,0.6,1.0,3.0,3.0,3.0,1.0,1.0
tiger_full_actions,2.0,1.0,0.6,3.0,3.0,3.0,3.0,1.0,1.0
tiger_full_actions,2.0,2.0,0.0,1.0,147.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,2.0,0.0,3.0,147.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,2.0,0.0,5.0,147.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,2.0,0.0,10.0,147.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,2.0,0.1,1.0,147.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,2.0,0.1,3.0,147.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,2.0,0.1,5.0,147.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,2.0,0.1,10.0,147.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,2.0,0.2,1.0,147.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,2.0,0.2,3.0,147.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,2.0,0.2,5.0,147.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,2.0,0.2,10.0,147.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,2.0,0.3,1.0,147.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,2.0,0.3,3.0,147.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,2.0,0.3,5.0,147.0,4.0,4.0,1.0,1.0
tiger_full_actions,2.0,2.0,0.3,10.0,147.0,4.0,4.0,1.0,1.0
