benchmark,m,horizon,depth,rank_idx,singular_value,explained_variance_ratio,cumulative_variance_ratio,effective_rank_90,effective_rank_95,effective_rank_99,n_fscs,tensor_time_s,k,epsilon,ari,merge_fidelity,exact_classes,approx_classes
gridworld_5x5,1.0,2.0,1.0,0.0,1.0795013518575247,0.971561703456736,0.971561703456736,1.0,1.0,2.0,5.0,0.533,,,,,,
gridworld_5x5,1.0,2.0,1.0,1.0,0.15241336878655193,0.01936734689212776,0.9909290503488637,1.0,1.0,2.0,5.0,0.533,,,,,,
gridworld_5x5,1.0,2.0,1.0,2.0,0.0868248087247557,0.006285092547970927,0.9972141428968346,1.0,1.0,2.0,5.0,0.533,,,,,,
gridworld_5x5,1.0,2.0,1.0,3.0,0.05429141974893035,0.0024574596983362503,0.9996716025951708,1.0,1.0,2.0,5.0,0.533,,,,,,
gridworld_5x5,1.0,2.0,1.0,4.0,0.019846679431746145,0.0003283974048291946,1.0,1.0,1.0,2.0,5.0,0.533,,,,,,
gridworld_5x5,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.533,,,,,,
gridworld_5x5,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.533,,,,,,
gridworld_5x5,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.533,,,,,,
gridworld_5x5,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.533,,,,,,
gridworld_5x5,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.533,,,,,,
gridworld_5x5,1.0,2.0,-1.0,-1.0,,,,,,,5.0,0.533,3.0,0.0,1.0,1.0,6.0,6.0
gridworld_5x5,1.0,2.0,-1.0,-1.0,,,,,,,5.0,0.533,3.0,0.1,1.0,1.0,6.0,6.0
gridworld_5x5,1.0,2.0,-1.0,-1.0,,,,,,,5.0,0.533,3.0,0.3,1.0,1.0,4.0,4.0
gridworld_5x5,1.0,2.0,-1.0,-1.0,,,,,,,5.0,0.533,3.0,0.5,1.0,1.0,3.0,3.0
gridworld_5x5,1.0,2.0,-1.0,-1.0,,,,,,,5.0,0.533,5.0,0.0,1.0,1.0,6.0,6.0
gridworld_5x5,1.0,2.0,-1.0,-1.0,,,,,,,5.0,0.533,5.0,0.1,1.0,1.0,6.0,6.0
gridworld_5x5,1.0,2.0,-1.0,-1.0,,,,,,,5.0,0.533,5.0,0.3,1.0,1.0,4.0,4.0
gridworld_5x5,1.0,2.0,-1.0,-1.0,,,,,,,5.0,0.533,5.0,0.5,1.0,1.0,3.0,3.0
gridworld_5x5,2.0,2.0,1.0,0.0,42.69265922736405,0.9552825788937577,0.9552825788937577,1.0,1.0,4.0,6405.0,389.749,,,,,,
